USERNAME,PASSWORD,POSITION,DATE_OF_JOINING,NAME,ADDRESS,MOBILE,SALARY
F5bvYiv,XIJ93GGM3OY,Compounder,2015/10/24,Jillian,"P.O. Box 909, 6687 Curabitur St.",4727768601,3400
kytzynxrN,TAC61OJX2XS,Manager,2014/6/22,Porter,796-4570 Ipsum Avenue,1100293116,19000
9hMdtl,EJP13OCZ6AP,Wardboy,2015/10/24,Laith,520-3304 Blandit Rd.,7554549601,4700
CvjjGgKlKI,NUB64UNI2QQ,Storekeeper,2015/10/24,Audra,"P.O. Box 215, 2952 Vel, St.",4223358952,5300
yJylheNoq,FQL10OSW7AO,Janitor,2014/6/22,Lance,109-1334 Eros Avenue,5104650306,3900
FnFzCTPyJa,XEG13PYQ4LC,Janitor,2014/6/22,Amelia,"4725 Ornare, Road",1034809037,1400
Xs4aZeS,LUA75AGY8QZ,Nurse,2015/10/24,Callie,866-5004 Massa St.,8858531885,9100
r0k7hb,ECV05FSC6YU,Nurse,2015/10/24,Alvin,"P.O. Box 349, 3646 Nostra, St.",9315682402,7500
cko3Uk,AKI88UPC7HM,Manager,2014/6/22,Quin,Ap #945-3907 Neque Ave,8792611768,16000
VIhlKb,YVT32IZR0GC,Wardboy,2014/6/22,Jamal,Ap #450-7015 Mattis Avenue,7924307666,3800
zHy6sRQid,AJP37XOK1AG,Nurse,2014/6/22,Hyacinth,Ap #899-5218 Feugiat Av.,2666328113,7500
vz6gqt,PQK37YWO0AE,Storekeeper,2015/10/24,Ruth,2667 A Street,4167759274,3300
vxzClt,HSY61PYP2MZ,Nurse,2014/6/22,Dalton,Ap #673-5388 Sapien Av.,9133675244,6500
U0icFl,BVF55YHI6ZK,Compounder,2015/10/24,Josephine,Ap #870-3914 Urna Av.,7831060094,3400
